id,prompt,A,B,C,D,E,answer
0,Who is the dean of the University of Central Florida College of Engineering and Computer Science?,John Doe,Michael Georgiopoulos,Jane Smith,Robert Johnson,David Brown,B
1,What degrees does the college offer?,Engineering and computer science,Business and economics,Psychology and sociology,Mathematics and statistics,Arts and humanities,A
2,How many undergraduate and graduate students were enrolled in the college as of Fall 2012?,"Over 5,000","Over 10,000","Over 7,500","Over 3,000","Over 15,000",C
3,What is the University of Central Florida listed as by The Carnegie Foundation for the Advancement of Teaching?,A liberal arts college,A research university,An Ivy League institution,A community college,A vocational school,B
4,What are some of the research contributions made by the university?,Architecture and design,Medicine and healthcare,Environmental science,Modeling and simulation,Linguistics and literature,D
5,What is the definition of physical mathematics?,The study of mathematical physics,The study of mathematical representations of physical phenomena,The study of mathematical theories in relation to physical applications,The study of mathematical models in the field of physics,The study of mathematics applied to physical sciences,C
6,Who is considered to have laid the foundations of mathematical physics?,Hero of Alexandria,Alhazen,Galileo,Newton,Margaret Osler,C
7,Which mathematician addressed the details of physical units and their manipulation?,Margaret Osler,Hero of Alexandria,Alhazen,Alexander Macfarlane,Galileo,D
8,What mathematical representation is commonly used in kinematics?,Complex numbers,Quaternions,Linear algebra,All of the above,None of the above,D
9,What did the Mathematical Tripos test students on at Cambridge University?,Their knowledge of mixed mathematics,Their knowledge of physical arithmetic,Their knowledge of mathematical physics,Their knowledge of fluxional calculus,Their knowledge of mathematical and physical problems,A
10,What is classical mechanics?,A model of the physics of forces acting upon bodies,The study of the object and properties of an object in motion,"The study of changes in temperature, pressure, and volume on physical systems","The study of the behavior of solids, gases, and fluids",The study of the motion of particles and general systems of particles,A
11,Who is often referred to as the father of classical mechanics?,Isaac Newton,Albert Einstein,Galileo Galilei,Leonhard Euler,Johannes Kepler,A
12,What is thermodynamics?,The study of the physics of forces acting upon bodies,The study of the object and properties of an object in motion,"The study of changes in temperature, pressure, and volume on physical systems","The study of the behavior of solids, gases, and fluids",The study of the motion of particles and general systems of particles,C
13,What is the starting point for most thermodynamic considerations?,The laws of thermodynamics,The laws of classical mechanics,The laws of quantum mechanics,The laws of relativity,The laws of statistical mechanics,A
14,What did Feynman consider to be the most compact statement of physics?,Classical mechanics,Thermodynamics,The existence of atoms,The laws of motion,The laws of thermodynamics,C
15,What are symmetries in quantum mechanics?,Symmetries describe features of spacetime that are changed under some transformation.,Symmetries describe features of particles that are unchanged under some transformation.,Symmetries describe features of particles that are changed under some transformation.,Symmetries describe features of spacetime that are unchanged under some transformation.,Symmetries describe features of particles that are irrelevant under some transformation.,D
16,"What are symmetry, invariance, and conservation laws in physics?",They are fundamental constraints for formulating physical theories and models.,They are powerful methods for solving problems and predicting outcomes.,They are direct answers to all physical problems.,They are redundant in physics and can be ignored.,They are mathematical concepts with no practical use in physics.,A
17,How do conservation laws contribute to solving problems in physics?,They directly provide the answer to the problem.,They are the correct constraints and the first steps to solving a multitude of problems.,They are irrelevant in the formulation of physical theories and models.,"They are only useful in classical physics, not quantum mechanics.",They hinder problem-solving in physics.,B
18,What do Lie groups and relativistic transformations relate to in quantum mechanics?,They relate to the mathematical formulation of the standard model.,They relate to the condensed matter physics.,They relate to the classical form of continuous symmetries.,They relate to the quantum operators of symmetries.,They relate to the mathematical formulation of quantum field theory.,D
19,What do wide hats and narrow hats represent in notation?,Wide hats represent unit vectors and narrow hats represent operators.,Wide hats represent matrices and narrow hats represent vectors.,Wide hats represent vectors and narrow hats represent unit vectors.,Wide hats represent operators and narrow hats represent unit vectors.,Wide hats represent unit vectors and narrow hats represent matrices.,D
20,When was the Wisconsin Alumni Research Foundation founded?,1925,1935,1945,1955,1965,A
21,Who invented the process for using ultraviolet radiation to add vitamin D to milk and other foods?,Harry Steenbock,Harry L. Russell,Charles Sumner Slichter,Quaker Oats,UW-Madison,A
22,How did Harry Steenbock initially protect his invention?,By leaving it unpatented,By seeking financial support from alumni,By filing for a patent,By declining Quaker Oats offer,By gaining commercial interest,C
23,Who supported Harry Steenbock's concept of protecting discoveries made by UW-Madison faculty?,Harry Steenbock,Harry L. Russell,Charles Sumner Slichter,Quaker Oats,UW-Madison,C
24,When was the organization's charter filed with the Secretary of State of Wisconsin?,"June 22, 1925","November 14, 1925","November 22, 1925","June 14, 1925","November 14, 1935",B
25,What is the relationship between technology and society?,Technology and society are completely independent of each other.,Technology and society have no influence on each other.,Technology and society are inter-dependent and co-influence each other.,Technology and society only depend on each other.,Technology and society have no impact on each other.,C
26,When did the first scientific approach to the relationship between technology and society occur?,In modern times,In ancient times,In the 20th century,In prehistoric times,In medieval times,C
27,"What is the study of the mutual impacts of science, technology, and society called?",History of Science,Technology and Society Studies,Sociology of Technology,Science and Technology Studies,Cultural Anthropology,D
28,What is the simplest form of technology?,Computers,The Internet,Basic tools,Telephones,Printing press,C
29,What did the development of technology lead to?,The decline of economies,The rise of a leisure class,The disappearance of physical barriers,The reduction of global interaction,The decrease in food sources,B
30,What are the two major mathematical reviewing databases that the MSC is based on?,Mathematical Research and Zentralblatt MATH,Mathematical Reviews and Zentralblatt MATH,Mathematical Research and Mathematical Reviews,Zentralblatt MATH and Mathematics Subject Classification,Mathematics Reviews and Mathematics Subject Classification,B
31,How many levels does the MSC hierarchical scheme have?,One,Two,Three,Four,Five,C
32,What is the classification for classical differential geometry in the MSC?,53,53A,53A45,2,45,B
33,How many mathematical disciplines are labeled at the top level of the MSC?,64,53,2,45,5,A
34,Which top-level category covers the overlap of mathematics with other sciences?,History and Biography,Mathematics Education,Physics,Mathematical Research,Mathematical Reviews,C
