id,prompt,A,B,C,D,E,answer
0,What is the typical duration of a vinyl album?,5 to 10 minutes per side,15 to 25 minutes per side,30 to 40 minutes per side,45 to 55 minutes per side,60 to 70 minutes per side,B
1,What can cause hiss in the sound from lower quality amplifiers?,Higher recorded level,Lower groove amplitude,Shorter playing time,Smaller run-off groove area,Reduced dynamic range,B
2,"Which album has a ""technical note"" suggesting re-recording onto tape?","The Beatles' ""Hey Jude""","Queen's ""Bohemian Rhapsody""",Todd Rundgren's Initiation LP,Classical music and spoken word recordings,The typical vinyl album,C
3,What is the purpose of an EP?,To have a smaller run-off groove area,To extend the playing time,To reduce the dynamic range,To increase the number of tracks,To have a smaller diameter,B
4,Which single is an example of a longer playing time?,"The Beatles' ""Hey Jude""","Queen's ""Bohemian Rhapsody""",Classical music and spoken word recordings,The typical vinyl album,Todd Rundgren's Initiation LP,B
5,What is a BioBlitz?,A highly structured and measured field survey,An intense period of biological surveying in an attempt to record all the living species within a designated area,A festival-like event,A collaboration with local natural history museums,A tool in teaching post-secondary students about biodiversity,B
6,What is the goal of a BioBlitz?,To record all the living species within a designated area,To conduct a highly structured and measured field survey,To improve public participation through collaboration with local natural history museums,To teach post-secondary students about biodiversity,To have a festival-like atmosphere,A
7,Where are BioBlitzes often held?,In remote areas far from cities,In urban parks or nature reserves close to cities,In highly structured and measured field survey sites,In post-secondary educational institutions,In collaboration with local natural history museums,B
8,How can collaboration with local natural history museums improve public participation in a BioBlitz?,By providing highly structured and measured field surveys,By teaching post-secondary students about biodiversity,By holding the BioBlitz in urban parks or nature reserves,By encouraging the public to get interested in biodiversity,By improving public participation through collaboration,E
9,What has research shown about BioBlitzes?,They are highly structured and measured field surveys,They are successful tools in teaching post-secondary students about biodiversity,They are held in remote areas far from cities,They improve public participation through collaboration with local natural history museums,They have the atmosphere of a festival,B
10,What is X-ray absorption fine structure (XAFS) used for?,Determining the atomic spectra,Analyzing the local structure and unoccupied local electronic states,Studying the XAS spectra of condensed matter,Investigating the XANES energy region,Examining the spectral features in the edge region,B
11,"What are the ""bounds final states"" or ""Rydberg states"" in the atomic X-ray absorption spectrum (XAS)?",States in the discrete part of the spectrum below the ionization potential,States in the continuum part of the spectrum above the ionization potential,States in the spectral region dominated by multiple scattering resonances,States in the XANES energy range,States in the edge region,A
12,What dominates the edge region in strongly correlated metals and insulators?,Excitations to final delocalized states above the Fermi level,Core excitons below the ionization potential,Electronic transitions to the first unoccupied molecular levels,Multi-electron excitations and configuration interaction between many body final states,Low energy EXAFS oscillations,D
13,What is the XANES energy region?,The region dominated by multiple scattering resonances,The region between the edge region and the EXAFS region,The region below the ionization potential,The region above the Fermi level,The region where low energy EXAFS oscillations occur,B
14,Who invented the acronym XANES?,Antonio Bianconi,National Bureau of Standards,Frascati and Stanford synchrotron sources,X-ray absorption fine structure (XAFS),X-ray absorption spectroscopy (XAS),A
15,What are the main subjects of John Zerzan's criticism?,Democracy and capitalism,Agricultural civilization and symbolic thought,Religion and spirituality,Science and technology,Social inequality and poverty,B
16,Which university did John Zerzan attend to receive his bachelor's degree?,San Francisco State University,University of Southern California,Stanford University,"University of California, Berkeley",University of Oregon,C
17,Where was John Zerzan born?,"San Francisco, California","Los Angeles, California","Salem, Oregon","Portland, Oregon","Eugene, Oregon",C
18,What was John Zerzan's occupation before returning to school?,Teacher,Lawyer,Writer,Union organizer,Activist,D
19,When was John Zerzan arrested for civil disobedience?,1966,1967,1970,1972,1975,A
