prompt,C,E,D,B,A,answer
"In relation to Eunice Fay McKenzie's career, which statement accurately reflects her most notable work?",McKenzie gained recognition for her role as a child actress in a series of iconic silent films.,"McKenzie's successful career in sound films continued into adulthood, becoming known for her versatile acting abilities.",McKenzie's collaborations with director Blake Edwards were instrumental in her rise to fame.,McKenzie is primarily remembered for her starring roles opposite Gene Autry in popular Western films of the 1940s.,"McKenzie showcased her singing talents in numerous musical productions, garnering critical acclaim.",B
"How does Modified Newtonian Dynamics (MOND) impact the observed ""missing baryonic mass"" discrepancy in galaxy clusters, according to the provided excerpt from Wikipedia?","MOND is a theory that reduces the observed missing baryonic mass in galaxy clusters by postulating the existence of a new form of matter called ""fuzzy dark matter.""",MOND's impact on the observed missing baryonic mass in galaxy clusters remains a subject of debate.,MOND is a theory that eliminates the observed missing baryonic mass in galaxy clusters by imposing a new mathematical formulation of gravity that does not require the existence of dark matter.,MOND explains the missing baryonic mass in galaxy clusters that was previously considered dark matter by demonstrating that the mass is in the form of neutrinos and axions.,MOND is a theory that increases the discrepancy between the observed missing baryonic mass in galaxy clusters and the measured velocity dispersions.,E
Which of the following statements accurately describes Ray Montgomerie's football career?,"Ray Montgomerie is a former footballer who played as a goalkeeper for Motherwell, Falkirk, and St. Mirren.","Ray Montgomerie is a former footballer who played as a midfielder for Celtic, Rangers, and Aberdeen.","Ray Montgomerie is a former footballer who played as a striker for Inverness Caledonian Thistle, Ross County, and St. Johnstone.","Ray Montgomerie is a former footballer who played as a defender for Dumbarton, Kilmarnock, and Partick Thistle.","Ray Montgomerie is a former footballer who played as a forward for Dundee United, Heart of Midlothian, and Hibernian.",B
What is the significance of the Museum of the Occupation of Latvia in Riga?,The Museum of the Occupation of Latvia was established in 1993 to exhibit artifacts and educate the public about the period of Soviet and Nazi occupations in Latvia.,The Museum of the Occupation of Latvia is a museum dedicated to the history of Riga and its development over time.,The Museum of the Occupation of Latvia primarily focuses on the cultural heritage of Latvia and its impact on the modern world.,The Museum of the Occupation of Latvia showcases the history of the Latvian independence movement during the early 20th century.,The Museum of the Occupation of Latvia is a memorial dedicated to the victims of World War II in Latvia.,C
"What was the previous name of the Christian School and Chapel for the Deaf located in Luquillo, Puerto Rico?",The Evangelical School and Chapel for the Deaf (ESCD),The Evangelical School for the Blind (ESB),The Evangelical School for the Deaf (ESD),The Christian School for the Blind (CSB),The Christian School for the Deaf (CSD),D
"Which of the following statements accurately describes Maria Józefa Sobieska, daughter-in-law of king John III Sobieski, based on the provided Wikipedia excerpt?","Maria Józefa Sobieska was a Portuguese princess, daughter-in-law of king John III Sobieski.","Maria Józefa Sobieska was a Spanish princess, married to king John III Sobieski.","Maria Józefa Sobieska was a Russian princess, married to king John III Sobieski.","Maria Józefa Sobieska was a Polish princess, daughter of king John III Sobieski.","Maria Józefa Sobieska was an Italian princess, married to king John III Sobieski.",C
"Which of the following ingredients is NOT used in the preparation of Khauk swè thoke, a popular Burmese salad?",Shredded cabbage,Carrots,Fried peanut oil,Fish sauce,Dried shrimp,E
What is the significance of Chetak or Cetak at the Battle of Haldighati?,Chetak or Cetak was a mystical horse believed to possess magical powers that aided Maharana Pratap in casting powerful spells against his opponents.,"Chetak or Cetak was the horse ridden by Maharana Pratap, serving as his loyal companion and symbolizing his resilience and bravery in the face of adversity.","Chetak or Cetak was an armored horse equipped with advanced weaponry, helping Maharana Pratap to overpower his enemies during the battle.","Chetak or Cetak was a horse renowned for its speed, allowing Maharana Pratap to quickly navigate through the rough terrain of the Aravalli Mountains.","Chetak or Cetak was a legendary horse known for its ability to fly, enabling Maharana Pratap to gain an aerial advantage during the battle.",E
"Which of the following statements accurately describes the population of Chistoozyorny District in Novosibirsk Oblast, Russia?",The population of Chistoozyorny District is the highest among all thirty districts in Novosibirsk Oblast.,"The population of Chistoozyorny District is primarily concentrated in the urban locality of Chistoozyornoye, accounting for 32.8% of the district's total population.","The population of Chistoozyorny District is evenly distributed throughout the district's 5,690 square kilometers area.",The population of Chistoozyorny District has decreased by 8.1% since the 2002 Census.,"The population of Chistoozyorny District in 1989 was 24,126, which increased to 22,444 in the 2002 Census.",E
Which of the following statements accurately describes Márcia Malsar's achievements as a Paralympic athlete?,Malsar carried the Paralympic torch during the closing ceremony of the 2016 Paralympic Games in Rio de Janeiro.,Malsar competed in three different Paralympic Games and won a total of four gold medals.,Malsar was the overall winner of the 1984 Paralympic Games and won gold in multiple events.,Malsar retired from competitive sports after the 1992 Paralympic Games.,Malsar was the first Brazilian athlete to participate in the Paralympic Games in any capacity.,E
